id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.type.id,pass.type.name,pass.body_part.id,pass.body_part.name,carry.end_location,under_pressure,duel.type.id,duel.type.name,out,miscontrol.aerial_won,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,pass.aerial_won,counterpress,off_camera,dribble.outcome.id,dribble.outcome.name,dribble.overrun,ball_recovery.offensive,shot.statsbomb_xg,shot.end_location,shot.outcome.id,shot.outcome.name,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,shot.technique.id,shot.technique.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.position.id,goalkeeper.position.name,pass.straight,pass.technique.id,pass.technique.name,clearance.head,clearance.body_part.id,clearance.body_part.name,pass.switch,duel.outcome.id,duel.outcome.name,foul_committed.advantage,foul_won.advantage,pass.cross,pass.assisted_shot_id,pass.shot_assist,shot.one_on_one,shot.key_pass_id,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.outcome.id,goalkeeper.outcome.name,clearance.aerial_won,foul_committed.card.id,foul_committed.card.name,foul_won.defensive,clearance.right_foot,shot.first_time,pass.through_ball,interception.outcome.id,interception.outcome.name,clearance.left_foot,ball_recovery.recovery_failure,shot.aerial_won,pass.goal_assist,pass.cut_back,pass.deflected,clearance.other,pass.outswinging,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,block.deflection,block.offensive,injury_stoppage.in_chain,location_x,location_y,location_z,pass.end_location_x,pass.end_location_y,carry.end_location_x,carry.end_location_y,shot.end_location_x,shot.end_location_y,shot.end_location_z,goalkeeper.end_location_x,goalkeeper.end_location_y
a7c95131-5a09-4e3c-8515-bda0cff51076,2671,2,00:28:53.406,73,53,130,,42,Ball Receipt*,30,Stoke City,1,Regular Play,30,Stoke City,,,['07559338-a1e7-4a40-b053-6c709f8bb750'],"[56.7, 65.6]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,65.6,,,,,,,,,,
15cfc9c1-8172-4b9a-861c-704bf90ba61e,2672,2,00:28:53.406,73,53,130,2.0558,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['4554e174-1d0e-4c0f-8d5b-96f5a2c24a89', '72159ed9-03cb-4518-9267-ebddde89e5c0', 'a7c95131-5a09-4e3c-8515-bda0cff51076']","[56.7, 65.6]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,,,,,,,,,,,,"[54.3, 68.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,65.6,,,,54.3,68.2,,,,,
72159ed9-03cb-4518-9267-ebddde89e5c0,2673,2,00:28:53.543,73,53,130,1.938192,17,Pressure,30,Stoke City,1,Regular Play,50,Reading,,,"['15cfc9c1-8172-4b9a-861c-704bf90ba61e', '4554e174-1d0e-4c0f-8d5b-96f5a2c24a89']","[62.2, 10.9]",9534.0,Omatsone Folarin Aluko,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,10.9,,,,,,,,,,
4554e174-1d0e-4c0f-8d5b-96f5a2c24a89,2674,2,00:28:55.462,73,55,130,1.505845,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,"['19e5881f-055b-4e7b-9b8b-6010b3f4c7f5', '72159ed9-03cb-4518-9267-ebddde89e5c0']","[54.3, 68.2]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,20674.0,Danny Batth,29.954132,-2.2450159,1.0,Ground Pass,"[35.6, 44.8]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,68.2,,35.6,44.8,,,,,,,
19e5881f-055b-4e7b-9b8b-6010b3f4c7f5,2675,2,00:28:56.968,73,56,130,,42,Ball Receipt*,30,Stoke City,1,Regular Play,30,Stoke City,,,['4554e174-1d0e-4c0f-8d5b-96f5a2c24a89'],"[35.6, 44.8]",20674.0,Danny Batth,4.0,Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,44.8,,,,,,,,,,
5027277f-9a41-4c3b-9acf-ee4aae77f384,2676,2,00:28:56.968,73,56,130,1.544067,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['19e5881f-055b-4e7b-9b8b-6010b3f4c7f5', '5490f918-be45-422d-924d-52c154979fdf']","[35.6, 44.8]",20674.0,Danny Batth,4.0,Center Back,,,,,,,,,,,,"[35.7, 44.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,44.8,,,,35.7,44.8,,,,,
5490f918-be45-422d-924d-52c154979fdf,2677,2,00:28:58.512,73,58,130,2.740625,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,['7a421d99-410c-4b1a-aad9-1bbcb087c876'],"[35.7, 44.8]",20674.0,Danny Batth,4.0,Center Back,10491.0,Morgan Fox,50.35246,-0.90505016,3.0,High Pass,"[66.8, 5.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,44.8,,66.8,5.2,,,,,,,
7a421d99-410c-4b1a-aad9-1bbcb087c876,2678,2,00:29:01.252,74,1,130,,42,Ball Receipt*,30,Stoke City,1,Regular Play,30,Stoke City,,,['5490f918-be45-422d-924d-52c154979fdf'],"[66.8, 5.2]",10491.0,Morgan Fox,8.0,Left Wing Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,5.2,,,,,,,,,,
5d20509e-c090-4fbe-8d2d-a15dba08ba64,2679,2,00:29:01.252,74,1,130,1.225988,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['7a421d99-410c-4b1a-aad9-1bbcb087c876', 'c3dd47bc-0935-48f4-97ff-21799d0972ad']","[66.8, 5.2]",10491.0,Morgan Fox,8.0,Left Wing Back,,,,,,,,,,,,"[67.7, 5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,5.2,,,,67.7,5.2,,,,,
c3dd47bc-0935-48f4-97ff-21799d0972ad,2680,2,00:29:02.478,74,2,130,1.342144,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,['ee7d46ec-4e68-4cd4-98d7-db66d21ac582'],"[67.7, 5.2]",10491.0,Morgan Fox,8.0,Left Wing Back,3514.0,James McClean,12.940248,0.6373188,3.0,High Pass,"[78.1, 12.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7,5.2,,78.1,12.9,,,,,,,
