Id,Formation,Player_Number,Player_Position,Player_Position_Abv,X,Y,,,,,,
131,4-5-1,16,Left Midfield,LM,8,27,,,,,,
132,4-5-1,23,Center Forward,CF,25,40,,,,,,
133,4-3-1-2,1,Goalkeeper,GK,25,5,,,,,,
134,4-3-1-2,2,Right Back,RB,42,16,,,,,,
135,4-3-1-2,3,Right Center Back,RCB,30,12,,,,,,
136,4-3-1-2,5,Left Center Back,LCB,20,12,,,,,,
137,4-3-1-2,6,Left Back,LB,8,16,,,,,,
138,4-3-1-2,13,Right Center Midfield,,30,27,,,,,,
139,4-3-1-2,14,Center Midfield,,25,27,,,,,,
140,4-3-1-2,15,Left Center Midfield,,20,27,,,,,,
141,4-3-1-2,19,Center Attacking Midfield,CAM,25,32,,,,,,
142,4-3-1-2,22,Right Center Forward,RCF,30,40,,,,,,
143,4-3-1-2,24,Left Center Forward,LCF,20,40,,,,,,
144,3-2-3-2,1,Goalkeeper,GK,25,5,,,,,,
145,3-2-3-2,3,Right Center Back,RCB,35,12,,,,,,
146,3-2-3-2,4,Center Back,CB,25,12,,,,,,
147,3-2-3-2,5,Left Center Back,LCB,15,12,,,,,,
148,3-2-3-2,7,Right Wing Back,,42,27,,,,,,
149,3-2-3-2,8,Left Wing Back,,8,27,,,,,,
150,3-2-3-2,13,Right Center Midfield,,30,27,,,,,,
151,3-2-3-2,14,Center Midfield,,25,27,,,,,,
152,3-2-3-2,15,Left Center Midfield,,20,27,,,,,,
153,3-2-3-2,22,Right Center Forward,RCF,30,40,,,,,,
154,3-2-3-2,24,Left Center Forward,LCF,20,40,,,,,,
155,3-4-2-1,1,Goalkeeper,GK,25,5,,,,,,
156,3-4-2-1,3,Right Center Back,RCB,35,12,,,,,,
157,3-4-2-1,4,Center Back,CB,25,12,,,,,,
158,3-4-2-1,5,Left Center Back,LCB,15,12,,,,,,
159,3-4-2-1,7,Right Wing Back,,42,27,,,,,,
160,3-4-2-1,8,Left Wing Back,,8,27,,,,,,
161,3-4-2-1,9,Right Defensive Midfield,RDM,32,22,,,,,,
162,3-4-2-1,11,Left Defensive Midfield,LDM,18,22,,,,,,
